step,task1_mean_1,task1_upper_1,task1_lower_1,task1_mean_2,task1_upper_2,task1_lower_2,task1_mean_3,task1_upper_3,task1_lower_3
277500,0.412,0.8242829,-0.0002829,0.5,0.875730658,0.124269342,0.544,0.929455704,0.158544296
285000,0.48,0.890423734,0.069576266,0.468,0.831585976,0.104414024,0.572,0.966102308,0.177897692
292500,0.472,0.887495825,0.056504175,0.46,0.833761751,0.086238249,0.592,0.985082992,0.198917008
300000,0.48,0.902453651,0.057546349,0.488,0.890863562,0.085136438,0.58,0.961550793,0.198449207
307500,0.54,0.961370561,0.118629439,0.488,0.873624936,0.102375064,0.58,0.976379013,0.183620987
315000,0.608,0.984112899,0.231887101,0.448,0.879035334,0.016964666,0.568,0.971272205,0.164727795
322500,0.596,0.973562748,0.218437252,0.536,0.957091042,0.114908958,0.564,0.950864999,0.177135001
330000,0.66,1.025083886,0.294916114,0.62,1.007274316,0.232725684,0.592,1.007481171,0.176518829
337500,0.648,1.004586394,0.291413606,0.636,1.037881004,0.234118996,0.66,1.060879682,0.259120318
345000,0.648,0.996503208,0.299496792,0.668,1.055753841,0.280246159,0.736,1.111664967,0.360335033
352500,0.584,0.971865801,0.196134199,0.664,1.044860649,0.283139351,0.704,1.079664967,0.328335033
360000,0.648,1.012150086,0.283849914,0.688,1.061153299,0.314846701,0.692,1.064847697,0.319152303
367500,0.62,0.994850644,0.245149356,0.672,1.042664291,0.301335709,0.724,1.073891679,0.374108321
375000,0.656,1.0015516,0.3104484,0.664,1.025945476,0.302054524,0.764,1.0679375,0.4600625
382500,0.696,1.032313574,0.359686426,0.668,1.00191903,0.33408097,0.744,1.055519379,0.432480621
390000,0.72,1.057637969,0.382362031,0.692,1.028830853,0.355169147,0.82,1.071034286,0.568965714
397500,0.696,1.046312132,0.345687868,0.712,1.056334344,0.367665656,0.844,1.107795847,0.580204153
405000,0.624,0.960487453,0.287512547,0.712,1.053103289,0.370896711,0.848,1.134305764,0.561694236
412500,0.612,0.95608446,0.26791554,0.744,1.09260678,0.39539322,0.86,1.119472948,0.600527052
420000,0.508,0.871556309,0.144443691,0.756,1.138218925,0.373781075,0.82,1.132446738,0.507553262
427500,0.552,0.862823359,0.241176641,0.736,1.110715434,0.361284566,0.836,1.129106739,0.542893261
435000,0.54,0.872974787,0.207025213,0.732,1.104856268,0.359143732,0.852,1.091441107,0.612558893
442500,0.624,0.955471592,0.292528408,0.74,1.115664508,0.364335492,0.8,1.045497079,0.554502921
450000,0.644,0.990703252,0.297296748,0.728,1.103664508,0.352335492,0.796,1.043507258,0.548492742
457500,0.704,1.057790473,0.350209527,0.712,1.086581418,0.337418582,0.832,1.072617221,0.591382779
465000,0.672,1.066396987,0.277603013,0.736,1.119701238,0.352298762,0.796,1.117115668,0.474884332
472500,0.688,1.066415424,0.309584576,0.732,1.113581033,0.350418967,0.784,1.119138179,0.448861821
480000,0.64,1.030075695,0.249924305,0.732,1.115672062,0.348327938,0.876,1.115639488,0.636360512
487500,0.62,1.006844639,0.233155361,0.728,1.11328839,0.34271161,0.884,1.112685037,0.655314963
495000,0.636,1.014474518,0.257525482,0.752,1.14235085,0.36164915,0.896,1.087395937,0.704604063
502500,0.66,1.04537185,0.27462815,0.744,1.130875356,0.357124644,0.9,1.082451665,0.717548335
510000,0.668,1.05783206,0.27816794,0.752,1.142854727,0.361145273,0.936,1.068652066,0.803347934
517500,0.72,1.099674985,0.340325015,0.752,1.140763698,0.363236302,0.9,1.082451665,0.717548335
525000,0.756,1.141395048,0.370604952,0.764,1.150326576,0.377673424,0.892,1.085406116,0.698593884
532500,0.756,1.145589772,0.366410228,0.76,1.14446741,0.37553259,0.912,1.071141041,0.752858959
540000,0.72,1.108987505,0.331012495,0.728,1.126275623,0.329724377,0.94,1.036531137,0.843468863
547500,0.7,1.087949133,0.312050867,0.728,1.126275623,0.329724377,0.932,1.039485588,0.824514412
555000,0.68,1.06687853,0.29312147,0.724,1.125187445,0.322812555,0.964,1.030630262,0.897369738
562500,0.664,1.048389522,0.279610478,0.712,1.107178743,0.316821257,0.972,1.027675811,0.916324189
570000,0.644,1.043301081,0.244698919,0.704,1.095756905,0.312243095,0.976,1.022731539,0.929268461
577500,0.66,1.053659704,0.266340296,0.74,1.119807858,0.360192142,0.984,1.012842995,0.955157005
585000,0.644,1.037450334,0.250549666,0.744,1.125424186,0.362575814,0.992,1.009888544,0.974111456
592500,0.668,1.064824264,0.271175736,0.74,1.11459469,0.36540531,0.992,1.009888544,0.974111456
600000,0.652,1.042671983,0.261328017,0.756,1.137424186,0.374575814,0.948,1.035745541,0.860254459
607500,0.68,1.05493963,0.30506037,0.756,1.13958107,0.37241893,0.92,1.070355444,0.769644556
615000,0.676,1.059548316,0.292451684,0.752,1.133721904,0.370278096,0.9,1.078639715,0.721360285
622500,0.688,1.077792249,0.298207751,0.74,1.117193753,0.362806247,0.896,1.083583987,0.708416013
630000,0.68,1.065985727,0.294014273,0.796,1.109639578,0.482360422,0.872,1.113249619,0.630750381
637500,0.684,1.089327574,0.278672426,0.784,1.092358573,0.475641427,0.876,1.136835341,0.615164659
645000,0.648,1.070759433,0.225240567,0.8,1.113099022,0.486900978,0.896,1.103169709,0.688830291
652500,0.64,1.054798693,0.225201307,0.772,1.074786298,0.469213702,0.916,1.094885438,0.737114562
660000,0.636,1.061534853,0.210465147,0.744,1.069294039,0.418705961,0.92,1.089941166,0.750058834
667500,0.632,1.066143539,0.197856461,0.704,1.09967771,0.30832229,0.912,1.08918826,0.73481174
675000,0.636,1.066475935,0.205524065,0.708,1.106046892,0.309953108,0.952,1.039745541,0.864254459
682500,0.628,1.054343732,0.201656268,0.708,1.106046892,0.309953108,0.964,1.033856997,0.894143003
690000,0.628,1.069023661,0.186976339,0.736,1.145397988,0.326602012,0.956,1.036811448,0.875188552
697500,0.632,1.0622875,0.2017125,0.708,1.099017394,0.316982606,0.952,1.04175572,0.86224428
705000,0.588,1.026784993,0.149215007,0.688,1.07482267,0.30117733,0.976,1.013787267,0.938212733
712500,0.604,1.014779167,0.193220833,0.7,1.091350821,0.308649179,0.96,1.033564355,0.886435645
720000,0.64,1.038300305,0.241699695,0.696,1.085734492,0.306265508,0.96,1.033564355,0.886435645
727500,0.676,1.023997514,0.328002486,0.704,1.096171615,0.311828385,0.928,1.069349982,0.786650018
735000,0.68,1.02503744,0.33496256,0.772,1.16457262,0.37942738,0.932,1.06440571,0.79959429
742500,0.724,1.060539947,0.387460053,0.772,1.172748713,0.371251287,0.944,1.058517166,0.829482834
750000,0.732,1.089512818,0.374487182,0.756,1.14985138,0.36214862,0.96,1.038740079,0.881259921
757500,0.732,1.0668427,0.3971573,0.752,1.145030586,0.358969414,0.916,1.072714433,0.759285567
765000,0.724,1.079927779,0.368072221,0.752,1.145030586,0.358969414,0.952,1.038918627,0.865081373
772500,0.752,1.078925227,0.425074773,0.724,1.116629581,0.331370419,0.924,1.041250128,0.806749872
780000,0.768,1.064096581,0.471903419,0.74,1.127827418,0.352172582,0.908,1.061027216,0.754972784
787500,0.736,1.033110642,0.438889358,0.744,1.136287628,0.351712372,0.908,1.061027216,0.754972784
795000,0.712,1.030338625,0.393661375,0.748,1.141108422,0.354891578,0.952,1.027052861,0.876947139
802500,0.64,0.993466843,0.286533157,0.744,1.135492094,0.352507906,0.956,1.022108589,0.889891411
810000,0.604,0.979973068,0.228026932,0.764,1.153455977,0.374544023,0.944,1.069219807,0.818780193
817500,0.568,0.980436673,0.155563327,0.76,1.147364948,0.372635052,0.92,1.098885438,0.741114562
825000,0.568,0.96478845,0.17121155,0.764,1.151364948,0.376635052,0.916,1.10382971,0.72817029
832500,0.572,0.985142144,0.158857856,0.748,1.136981276,0.359018724,0.916,1.10382971,0.72817029
840000,0.62,1.023564034,0.216435966,0.744,1.13112211,0.35687789,0.912,1.108773982,0.715226018
847500,0.652,1.051047079,0.252952921,0.744,1.130083739,0.357916261,0.952,1.059331263,0.844668737
855000,0.632,0.997305719,0.266694281,0.756,1.146611889,0.365388111,0.992,1.009888544,0.974111456
862500,0.648,1.023312565,0.272687435,0.76,1.151432684,0.368567316,0.988,1.014832816,0.961167184
870000,0.656,1.02343396,0.28856604,0.764,1.150692234,0.377307766,0.98,1.02472136,0.93527864
877500,0.72,1.010017334,0.429982666,0.772,1.162167729,0.381832271,0.984,1.019777088,0.948222912
885000,0.684,1.003411211,0.364588789,0.772,1.162167729,0.381832271,0.984,1.019777088,0.948222912
892500,0.712,1.070447802,0.353552198,0.768,1.1565514,0.3794486,0.944,1.069219807,0.818780193
900000,0.692,1.074671036,0.309328964,0.748,1.132356677,0.363643323,0.952,1.059331263,0.844668737
907500,0.68,1.067587128,0.292412872,0.76,1.147480797,0.372519203,0.96,1.049442719,0.870557281
915000,0.624,1.079481792,0.168518208,0.76,1.147480797,0.372519203,0.956,1.054386991,0.857613009
922500,0.628,1.071664839,0.184335161,0.756,1.144519169,0.367480831,0.956,1.054386991,0.857613009
930000,0.58,1.016532246,0.143467754,0.756,1.144519169,0.367480831,0.996,1.004944272,0.987055728
937500,0.588,1.015636886,0.160363114,0.772,1.163893099,0.380106901,0.988,1.014832816,0.961167184
945000,0.596,1.022388397,0.169611603,0.764,1.155072305,0.372927695,0.984,1.019777088,0.948222912
952500,0.576,1.010398441,0.141601559,0.724,1.102005107,0.345994893,0.976,1.029665631,0.922334369
960000,0.568,1.011230541,0.124769459,0.708,1.077260831,0.338739169,0.976,1.029665631,0.922334369
967500,0.608,1.052154068,0.163845932,0.68,1.045281461,0.314718539,0.976,1.029665631,0.922334369
975000,0.596,1.039069839,0.152930161,0.676,1.041281461,0.310718539,0.984,1.019777088,0.948222912
982500,0.556,1.001724368,0.110275632,0.688,1.055718583,0.320281417,0.98,1.02472136,0.93527864
990000,0.56,1.007048763,0.112951237,0.716,1.09225763,0.33974237,0.952,1.059331263,0.844668737
997500,0.576,1.011576479,0.140423521,0.736,1.119963534,0.352036466,0.952,1.059331263,0.844668737
1000000,0.592,1.025906941,0.158093059,0.764,1.151942904,0.376057096,0.952,1.059331263,0.844668737
