step,task9_mean_1,task9_upper_1,task9_lower_1,task9_mean_2,task9_upper_2,task9_lower_2,task9_mean_3,task9_upper_3,task9_lower_3
165000,0.136,0.370764318,-0.098764318,0.256,0.672363261,-0.160363261,0.828,1.10997959,0.54602041
172500,0.056,0.181219807,-0.069219807,0.272,0.672748713,-0.128748713,0.816,1.12197959,0.51002041
180000,0.12,0.318987231,-0.078987231,0.352,0.770728303,-0.066728303,0.852,1.08597959,0.61802041
187500,0.2,0.508531742,-0.108531742,0.392,0.828707892,-0.044707892,0.932,1.068,0.796
195000,0.24,0.568633535,-0.088633535,0.392,0.828707892,-0.044707892,0.892,1.04597959,0.73802041
202500,0.364,0.796940773,-0.068940773,0.376,0.814324221,-0.062324221,0.852,1.08597959,0.61802041
210000,0.404,0.926383492,-0.118383492,0.36,0.813938769,-0.093938769,0.84,1.09797959,0.58202041
217500,0.4,0.917146219,-0.117146219,0.32,0.773938769,-0.133938769,0.84,1.09797959,0.58202041
225000,0.428,0.937189108,-0.081189108,0.328,0.776565875,-0.120565875,0.84,1.09797959,0.58202041
232500,0.428,0.937189108,-0.081189108,0.384,0.842365652,-0.074365652,0.92,1.08,0.76
240000,0.512,0.954365652,0.069634348,0.384,0.898426381,-0.130426381,0.92,1.08,0.76
247500,0.556,0.993681293,0.118318707,0.464,0.998528174,-0.070528174,0.96,1.04,0.88
255000,0.636,1.055701703,0.216298297,0.472,1.00842828,-0.06442828,0.92,1.08,0.76
262500,0.668,1.093074597,0.242925403,0.404,0.928283598,-0.120283598,0.908,1.092,0.724
270000,0.736,1.133756817,0.338243183,0.444,0.968283598,-0.080283598,0.908,1.092,0.724
277500,0.728,1.141756817,0.314243183,0.484,1.008283598,-0.040283598,0.948,1.052,0.844
285000,0.764,1.164461587,0.363538413,0.484,1.008283598,-0.040283598,0.936,1.064,0.808
292500,0.764,1.164461587,0.363538413,0.56,1.067518973,0.052481027,0.976,1.024,0.928
300000,0.804,1.186481997,0.421518003,0.648,1.16567545,0.13032455,0.988,1.012,0.964
307500,0.8,1.2,0.4,0.648,1.16567545,0.13032455,0.976,1.024,0.928
315000,0.784,1.182383672,0.385616328,0.648,1.16567545,0.13032455,0.964,1.036,0.892
322500,0.784,1.182383672,0.385616328,0.688,1.185573658,0.190426342,0.944,1.056,0.832
330000,0.784,1.182383672,0.385616328,0.728,1.136130939,0.319869061,0.944,1.056,0.832
337500,0.784,1.182383672,0.385616328,0.76,1.157974461,0.362025539,0.944,1.056,0.832
345000,0.784,1.182383672,0.385616328,0.728,1.118997001,0.337002999,0.956,1.044,0.868
352500,0.78,1.18,0.38,0.728,1.118997001,0.337002999,0.968,1.032,0.904
360000,0.78,1.18,0.38,0.688,1.099098793,0.276901207,1,1,1
367500,0.78,1.18,0.38,0.648,1.148541512,0.147458488,1,1,1
375000,0.78,1.18,0.38,0.688,1.099098793,0.276901207,1,1,1
382500,0.78,1.18,0.38,0.8,1.108531742,0.491468258,1,1,1
390000,0.8,1.2,0.4,0.88,1.078987231,0.681012769,1,1,1
397500,0.8,1.2,0.4,0.92,1.098885438,0.741114562,1,1,1
405000,0.8,1.2,0.4,0.92,1.098885438,0.741114562,1,1,1
412500,0.792,1.189562878,0.394437122,0.916,1.10382971,0.72817029,0.976,1.024,0.928
420000,0.792,1.189562878,0.394437122,0.836,1.133374222,0.538625778,0.972,1.028,0.916
427500,0.792,1.189562878,0.394437122,0.836,1.133374222,0.538625778,0.932,1.068,0.796
435000,0.792,1.189562878,0.394437122,0.876,1.083931503,0.668068497,0.932,1.068,0.796
442500,0.768,1.167927919,0.368072081,0.872,1.078124393,0.665875607,0.892,1.108,0.676
450000,0.74,1.155660271,0.324339729,0.876,1.073180121,0.678819879,0.916,1.084,0.748
457500,0.74,1.155660271,0.324339729,0.916,1.093078328,0.738921672,0.92,1.08,0.76
465000,0.72,1.135660271,0.304339729,0.912,1.0980226,0.7259774,0.96,1.04,0.88
472500,0.72,1.135660271,0.304339729,0.888,1.127688232,0.648311768,0.96,1.04,0.88
480000,0.744,1.15729523,0.33070477,0.892,1.133495342,0.650504658,1,1,1
487500,0.82,1.14,0.5,0.852,1.182938061,0.521061939,1,1,1
495000,0.82,1.14,0.5,0.884,1.143383885,0.624616115,1,1,1
502500,0.84,1.16,0.52,0.848,1.187882333,0.508117667,1,1,1
510000,0.84,1.16,0.52,0.832,1.20765942,0.45634058,0.96,1.04,0.88
517500,0.84,1.16,0.52,0.808,1.186303617,0.429696383,0.952,1.048,0.856
525000,0.796,1.194383672,0.397616328,0.84,1.146749441,0.533250559,0.952,1.048,0.856
532500,0.796,1.194383672,0.397616328,0.84,1.146749441,0.533250559,0.952,1.048,0.856
540000,0.788,1.183946549,0.392053451,0.88,1.097306722,0.662693278,0.952,1.048,0.856
547500,0.788,1.183946549,0.392053451,0.92,1.047864003,0.792135997,0.992,1.008,0.976
555000,0.788,1.183946549,0.392053451,0.984,1.019777088,0.948222912,1,1,1
562500,0.792,1.189562878,0.394437122,0.992,1.009888544,0.974111456,1,1,1
570000,0.792,1.189562878,0.394437122,0.96,1.049442719,0.870557281,1,1,1
577500,0.8,1.2,0.4,0.956,1.054386991,0.857613009,1,1,1
585000,0.8,1.2,0.4,0.956,1.054386991,0.857613009,1,1,1
592500,0.8,1.2,0.4,0.932,1.063250344,0.800749656,1,1,1
600000,0.8,1.2,0.4,0.932,1.063250344,0.800749656,1,1,1
607500,0.8,1.2,0.4,0.972,1.013807625,0.930192375,1,1,1
615000,0.8,1.2,0.4,0.936,1.058306073,0.813693927,1,1,1
622500,0.8,1.2,0.4,0.936,1.058306073,0.813693927,1,1,1
630000,0.76,1.17797959,0.34202041,0.96,1.049442719,0.870557281,1,1,1
637500,0.72,1.155959179,0.284040821,0.96,1.049442719,0.870557281,1,1,1
645000,0.68,1.133938769,0.226061231,0.96,1.049442719,0.870557281,1,1,1
652500,0.64,1.111918359,0.168081641,1,1,1,1,1,1
660000,0.596,1.082913096,0.109086904,1,1,1,1,1,1
667500,0.596,1.082913096,0.109086904,1,1,1,0.96,1.04,0.88
675000,0.596,1.082913096,0.109086904,1,1,1,0.92,1.08,0.76
682500,0.596,1.082913096,0.109086904,0.96,1.049442719,0.870557281,0.92,1.08,0.76
690000,0.636,1.104933506,0.167066494,0.96,1.049442719,0.870557281,0.92,1.08,0.76
697500,0.64,1.111918359,0.168081641,0.96,1.049442719,0.870557281,0.92,1.08,0.76
705000,0.616,1.079738546,0.152261454,0.96,1.049442719,0.870557281,0.96,1.04,0.88
712500,0.652,1.096142628,0.207857372,0.92,1.098885438,0.741114562,1,1,1
720000,0.692,1.118163039,0.265836961,0.96,1.049442719,0.870557281,1,1,1
727500,0.656,1.076351987,0.235648013,0.96,1.049442719,0.870557281,1,1,1
735000,0.696,1.098372397,0.293627603,0.96,1.049442719,0.870557281,1,1,1
742500,0.764,1.14857262,0.37942738,0.96,1.049442719,0.870557281,1,1,1
750000,0.784,1.138188948,0.429811052,0.96,1.049442719,0.870557281,1,1,1
757500,0.784,1.138188948,0.429811052,0.956,1.054386991,0.857613009,1,1,1
765000,0.86,1.14,0.58,0.956,1.054386991,0.857613009,1,1,1
772500,0.86,1.14,0.58,0.956,1.054386991,0.857613009,1,1,1
780000,0.868,1.122647615,0.613352385,0.956,1.054386991,0.857613009,1,1,1
787500,0.852,1.138647615,0.565352385,0.996,1.004944272,0.987055728,1,1,1
795000,0.852,1.138647615,0.565352385,1,1,1,1,1,1
802500,0.812,1.178647615,0.445352385,0.96,1.049442719,0.870557281,1,1,1
810000,0.812,1.178647615,0.445352385,0.96,1.049442719,0.870557281,1,1,1
817500,0.8,1.2,0.4,0.96,1.049442719,0.870557281,1,1,1
825000,0.804,1.196,0.412,0.92,1.098885438,0.741114562,1,1,1
832500,0.84,1.16,0.52,0.88,1.148328157,0.611671843,1,1,1
840000,0.876,1.124,0.628,0.88,1.148328157,0.611671843,1,1,1
847500,0.9,1.1,0.7,0.88,1.148328157,0.611671843,1,1,1
855000,0.94,1.06,0.82,0.88,1.148328157,0.611671843,1,1,1
862500,0.976,1.024,0.928,0.92,1.098885438,0.741114562,1,1,1
870000,0.98,1.02,0.94,0.96,1.049442719,0.870557281,1,1,1
877500,0.956,1.044,0.868,1,1,1,1,1,1
885000,0.972,1.028,0.916,1,1,1,1,1,1
892500,0.968,1.032,0.904,1,1,1,1,1,1
900000,0.968,1.032,0.904,1,1,1,1,1,1
907500,0.968,1.032,0.904,1,1,1,1,1,1
915000,0.996,1.004,0.988,1,1,1,1,1,1
922500,0.984,1.016,0.952,1,1,1,1,1,1
930000,0.98,1.02,0.94,0.96,1.049442719,0.870557281,1,1,1
937500,0.964,1.036,0.892,0.92,1.098885438,0.741114562,1,1,1
945000,0.94,1.06,0.82,0.88,1.148328157,0.611671843,1,1,1
952500,0.928,1.064,0.792,0.88,1.148328157,0.611671843,0.996,1.004,0.988
960000,0.928,1.064,0.792,0.88,1.148328157,0.611671843,0.996,1.004,0.988
967500,0.928,1.064,0.792,0.88,1.148328157,0.611671843,0.996,1.004,0.988
975000,0.944,1.048,0.84,0.92,1.098885438,0.741114562,0.996,1.004,0.988
982500,0.968,1.024,0.912,0.96,1.049442719,0.870557281,0.984,1.008,0.96
990000,0.956,1.044,0.868,0.96,1.049442719,0.870557281,0.988,1.004,0.972
997500,0.956,1.044,0.868,0.96,1.049442719,0.870557281,0.988,1.004,0.972
1000000,0.964,1.036,0.892,1,1,1,0.988,1.004,0.972
